family,genus,species,reproduction,body_length_mm,distribution,coord_lower,coord_upper,number_loc,nbr_host_spp,Aphididae,Aleyrodidae,Coccoidea,Other Hemiptera,Diptera,Lepidoptera,Coleoptera,Hymenoptera,Thysanoptera,Neuroptera,Megaloptera,Angiosperms,Pinaceae,Cupressaceae,relation_group,development_time_days
Torymidae,Torymus,arundinis,sex,1.59-2.12,3-5,32;-83,60;143,16,8,0,0,0,0,1,0,1,1,0,0,0,0,0,0,25,NA
Torymidae,Torymus,bedeguaris,asex,"2,849",1-3-5,32;-128,60;75,52,29,0,0,0,0,1,0,0,1,0,0,0,0,0,0,25,NA
Torymidae,Torymus,impar,sex,3.5-3.9,3-5,32;-83,62;71,16,6,0,0,0,0,1,0,0,1,0,0,0,0,0,0,25,NA
Trichogrammatidae,Megaphragma,amalphitanum,sex,0.225-0.275,3,39;-8,46;13,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,NA
Trichogrammatidae,Megaphragma,mymaripenne,asex,0.252,1-2-3,-38;-156,38;14,8,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,NA
Trichogrammatidae,Trichogramma,alpha,sex,NA,1-2,34;-119,54;-63,9,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,21,NA
Trichogrammatidae,Trichogramma,atopovirilla,asex,NA,1-2,-25;-103,32;-37,12,26,0,0,0,0,0,1,0,0,0,0,0,1,0,0,31,NA
Trichogrammatidae,Trichogramma,aurosum,sex,NA,1-3-5,34;-149,64;113,18,8,0,0,0,0,0,1,0,1,0,0,0,0,0,0,21,NA
Trichogrammatidae,Trichogramma,australicum,sex,NA,2-5-6-7,-28;-156,36;143,37,62,0,0,0,0,1,1,0,0,0,0,0,0,0,0,23,7-8
Trichogrammatidae,Trichogramma,bezdencovii,asex,NA,2-3,-36;-72,54;45,6,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA
Trichogrammatidae,Trichogramma,bourarachae,sex,NA,3,32;-8,39;10,3,6,0,0,0,0,0,1,0,0,0,1,0,0,0,0,23,NA
